id,date,total_cases,new_cases
1,3/9/20,0,0
2,3/10/20,1,1
3,3/11/20,7,6
4,3/12/20,14,7
5,3/13/20,27,13
6,3/14/20,36,9
7,3/15/20,43,7
8,3/16/20,43,0
9,3/17/20,69,26
10,3/18/20,86,17
11,3/19/20,109,23
12,3/20/20,137,28
13,3/21/20,200,63
14,3/22/20,245,45
15,3/23/20,313,68
16,3/24/20,345,32
17,3/25/20,443,98
18,3/26/20,588,145
19,3/27/20,674,86
20,3/28/20,786,112
21,3/29/20,901,115
22,3/30/20,989,88
23,3/31/20,1075,86
24,4/1/20,1181,106
25,4/2/20,1317,136
26,4/3/20,1475,158
27,4/4/20,1673,198
28,4/5/20,1801,128
29,4/6/20,1988,187
30,4/7/20,2100,112
31,4/8/20,2249,149
32,4/9/20,2528,279
33,4/10/20,2752,224
34,4/11/20,2974,222
35,4/12/20,3234,260
36,4/13/20,3400,166
37,4/14/20,3472,72
38,4/15/20,3574,102
39,4/16/20,3751,177
40,4/17/20,4016,265
41,4/18/20,4210,194
42,4/19/20,4273,63
43,4/20/20,4467,194
44,4/21/20,4658,191
45,4/22/20,4821,163
46,4/23/20,4992,171
47,4/24/20,5166,174
48,4/25/20,5338,172
49,4/26/20,5538,200
50,4/27/20,5779,241
51,4/28/20,6021,242
52,4/29/20,6200,179
53,4/30/20,6378,178
54,5/1/20,6532,154
55,5/2/20,6720,188
56,5/3/20,7090,370
57,5/4/20,7197,107
58,5/5/20,7387,190
59,5/6/20,7523,136
60,5/7/20,7731,208
61,5/8/20,7868,137
62,5/9/20,8070,202
63,5/10/20,8282,212
64,5/11/20,8448,166
65,5/12/20,8616,168
66,5/13/20,8783,167
67,5/14/20,8944,161
68,5/15/20,9118,174
69,5/16/20,9268,150
70,5/17/20,9449,181
71,5/18/20,9606,157
72,5/19/20,9726,120
73,5/20/20,9867,141
74,5/21/20,9977,110
75,5/22/20,10116,139
76,5/23/20,10267,151
77,5/24/20,10577,310
78,5/25/20,10926,349
79,5/26/20,11183,257
80,5/27/20,11447,264
81,5/28/20,11728,281
82,5/29/20,12131,403
83,5/30/20,12531,400
84,5/31/20,13018,487
85,6/1/20,13463,445
86,6/2/20,13837,374
87,6/3/20,14095,258
88,6/4/20,14609,514
89,6/5/20,15044,435
90,6/6/20,15463,419
91,6/7/20,16004,541
92,6/8/20,16425,421
93,6/9/20,16854,429
94,6/10/20,17233,379
95,6/11/20,17889,656
96,6/12/20,18586,697
97,6/13/20,19211,625
98,6/14/20,20059,848
99,6/15/20,20686,627
100,6/16/20,21422,736
101,6/17/20,21962,540
102,6/18/20,22597,635
103,6/19/20,23351,754
104,6/20/20,24274,923
105,6/21/20,25222,948
106,6/22/20,26030,808
107,6/23/20,26752,722
108,6/24/20,27314,562
109,6/25/20,28030,716
110,6/26/20,29037,1007
111,6/27/20,29905,868
112,6/28/20,30658,753
113,6/29/20,31686,1028
114,6/30/20,32785,1099
115,7/1/20,33550,765
116,7/2/20,34463,913
117,7/3/20,35237,774
118,7/4/20,35995,758
119,7/5/20,36983,988
120,7/6/20,38149,1166
121,7/7/20,39334,1185
122,7/8/20,40291,957
123,7/9/20,41251,960
124,7/10/20,42216,965
125,7/11/20,43257,1041
126,7/12/20,44332,1075
127,7/13/20,45633,1301
128,7/14/20,47173,1540
129,7/15/20,48096,923
130,7/16/20,49243,1147
131,7/17/20,50373,1130
132,7/18/20,51408,1035
133,7/19/20,52261,853
134,7/20/20,53468,1207
135,7/21/20,54426,958
136,7/22/20,55153,727
137,7/23/20,55906,753
138,7/24/20,56817,911
139,7/25/20,57993,1176
140,7/26/20,58864,871
141,7/27/20,60296,1432
142,7/28/20,61442,1146
143,7/29/20,62223,781
144,7/30/20,63269,1046
145,7/31/20,64191,922
146,8/1/20,65256,1065
147,8/2/20,66383,1127
148,8/3/20,67453,1070
149,8/4/20,68456,1003
150,8/5/20,69424,968
151,8/6/20,70231,807
152,8/7/20,71418,1187
153,8/8/20,72560,1142
154,8/9/20,73651,1091
155,8/10/20,74492,841
156,8/11/20,75394,902
157,8/12/20,76464,1070
158,8/13/20,77377,913
159,8/14/20,78446,1069
160,8/15/20,79402,956
161,8/16/20,80665,1263
162,8/17/20,81940,1275
163,8/18/20,82543,603
164,8/19/20,82790,247
165,8/20/20,83754,964
166,8/21/20,83855,101
167,8/22/20,84392,537
168,8/23/20,85480,1088
169,8/24/20,86900,1420
170,8/25/20,87485,585
171,8/26/20,88381,896
172,8/27/20,89082,701
173,8/28/20,89982,900
174,8/29/20,90624,642
175,8/30/20,91337,713
176,8/31/20,92065,728
177,9/1/20,92982,917
178,9/2/20,93552,570
179,9/3/20,94084,532
180,9/4/20,94914,830
181,9/5/20,95596,682
182,9/6/20,96305,709
183,9/7/20,97043,738
184,9/8/20,97578,535
185,9/9/20,98407,829
186,9/10/20,99042,635
187,9/11/20,99715,673
188,9/12/20,100330,615
189,9/13/20,101041,711
190,9/14/20,101745,704
191,9/15/20,102204,459
192,9/16/20,102832,628
193,9/17/20,103466,634
194,9/18/20,104138,672
195,9/19/20,104879,741
196,9/20/20,105601,722
197,9/21/20,106203,602
198,9/22/20,106810,607
199,9/23/20,107284,474
200,9/24/20,107990,706
201,9/25/20,108726,736
202,9/26/20,109431,705
203,9/27/20,110108,677
204,9/28/20,110555,447
205,9/29/20,111277,722
206,9/30/20,111853,576
207,10/1/20,112595,742
208,10/2/20,113342,747
209,10/3/20,113962,620
210,10/4/20,114653,691